frame_number,timestamp,track_id,x1,y1,x2,y2,confidence
241,9.64,10,767,405,782,418,1.0
241,9.64,12,717,356,734,370,1.0
241,9.64,13,990,102,1004,119,1.0
242,9.68,10,767,405,782,418,1.0
242,9.68,12,717,356,734,370,1.0
242,9.68,13,990,102,1004,119,1.0
243,9.72,10,767,405,782,418,1.0
243,9.72,12,717,356,734,370,1.0
243,9.72,13,990,102,1004,119,1.0
244,9.76,10,767,405,782,418,1.0
244,9.76,12,717,356,734,370,1.0
244,9.76,13,990,102,1004,119,1.0
245,9.8,10,767,405,782,418,1.0
245,9.8,12,717,356,734,370,1.0
245,9.8,13,990,102,1004,119,1.0
246,9.84,10,767,405,782,418,1.0
246,9.84,13,990,102,1004,119,1.0
247,9.88,10,767,405,782,418,1.0
247,9.88,13,990,102,1004,119,1.0
248,9.92,10,767,405,782,418,1.0
248,9.92,13,990,102,1004,119,1.0
249,9.96,10,767,405,782,418,1.0
249,9.96,13,990,102,1004,119,1.0
250,10.0,10,767,405,782,418,1.0
250,10.0,13,990,102,1004,119,1.0
251,10.04,10,767,405,782,418,1.0
251,10.04,13,990,102,1004,119,1.0
251,10.04,14,414,329,431,338,1.0
252,10.08,10,732,405,745,418,1.0
252,10.08,13,990,102,1004,119,1.0
252,10.08,14,414,329,431,338,1.0
253,10.12,10,732,405,745,418,1.0
253,10.12,13,990,102,1004,119,1.0
253,10.12,14,414,329,431,338,1.0
254,10.16,10,732,405,745,418,1.0
254,10.16,13,990,102,1004,119,1.0
254,10.16,14,414,329,431,338,1.0
255,10.2,10,732,405,745,418,1.0
255,10.2,13,990,102,1004,119,1.0
255,10.2,14,414,329,431,338,1.0
256,10.24,10,732,405,745,418,1.0
256,10.24,13,990,102,1004,119,1.0
256,10.24,14,414,329,431,338,1.0
257,10.28,10,732,405,745,418,1.0
257,10.28,13,990,102,1004,119,1.0
257,10.28,14,414,329,431,338,1.0
258,10.32,10,732,405,745,418,1.0
258,10.32,13,990,102,1004,119,1.0
258,10.32,14,414,329,431,338,1.0
259,10.36,10,732,405,745,418,1.0
259,10.36,13,990,102,1004,119,1.0
259,10.36,14,414,329,431,338,1.0
260,10.4,10,732,405,745,418,1.0
260,10.4,13,990,102,1004,119,1.0
260,10.4,14,414,329,431,338,1.0
261,10.44,10,732,405,745,418,1.0
261,10.44,13,990,102,1004,119,1.0
261,10.44,14,414,329,431,338,1.0
262,10.48,10,732,405,745,418,1.0
262,10.48,13,990,102,1004,119,1.0
262,10.48,14,414,329,431,338,1.0
263,10.52,10,732,405,745,418,1.0
263,10.52,13,990,102,1004,119,1.0
263,10.52,14,414,329,431,338,1.0
264,10.56,10,732,405,745,418,1.0
264,10.56,13,990,102,1004,119,1.0
264,10.56,14,414,329,431,338,1.0
265,10.6,10,732,405,745,418,1.0
265,10.6,14,414,329,431,338,1.0
266,10.64,10,732,405,745,418,1.0
266,10.64,14,414,329,431,338,1.0
267,10.68,10,732,405,745,418,1.0
267,10.68,14,414,329,431,338,1.0
268,10.72,10,732,405,745,418,1.0
268,10.72,14,414,329,431,338,1.0
269,10.76,10,732,405,745,418,1.0
269,10.76,14,414,329,431,338,1.0
270,10.8,10,732,405,745,418,1.0
270,10.8,14,414,329,431,338,1.0
271,10.84,10,732,405,745,418,1.0
271,10.84,14,414,329,431,338,1.0
272,10.88,10,732,405,745,418,1.0
272,10.88,14,414,329,431,338,1.0
273,10.92,10,732,405,745,418,1.0
273,10.92,14,414,329,431,338,1.0
274,10.96,10,732,405,745,418,1.0
274,10.96,14,414,329,431,338,1.0
275,11.0,10,628,390,641,403,1.0
275,11.0,14,414,329,431,338,1.0
276,11.04,10,622,388,635,403,1.0
276,11.04,14,414,329,431,338,1.0
277,11.08,10,622,388,635,403,1.0
277,11.08,14,414,329,431,338,1.0
278,11.12,10,622,388,635,403,1.0
278,11.12,14,414,329,431,338,1.0
279,11.16,10,622,388,635,403,1.0
279,11.16,14,414,329,431,338,1.0
280,11.2,10,622,388,635,403,1.0
280,11.2,14,414,329,431,338,1.0
281,11.24,10,622,388,635,403,1.0
281,11.24,14,414,329,431,338,1.0
282,11.28,10,622,388,635,403,1.0
283,11.32,10,622,388,635,403,1.0
284,11.36,10,622,388,635,403,1.0
285,11.4,10,622,388,635,403,1.0
286,11.44,10,622,388,635,403,1.0
287,11.48,10,622,388,635,403,1.0
288,11.52,10,622,388,635,403,1.0
289,11.56,10,622,388,635,403,1.0
290,11.6,10,622,388,635,403,1.0
